"s_1";1;"Strongly disagree"
"s_1";2;"Disagree"
"s_1";3;"Slightly disagree"
"s_1";4;"Neutral"
"s_1";5;"Slightly agree"
"s_1";6;"Agree"
"s_1";7;"Strongly agree"
"statoverall_1";0;"Not selected"
"statoverall_1";1;"Selected"
"statoverall_2";0;"Not selected"
"statoverall_2";1;"Selected"
"statoverall_3";0;"Not selected"
"statoverall_3";1;"Selected"
"statoverall_4";0;"Not selected"
"statoverall_4";1;"Selected"
"statoverall_5";0;"Not selected"
"statoverall_5";1;"Selected"
"s_10";2;"18-24"
"s_10";3;"25-34"
"s_10";4;"35-44"
"s_10";6;"45-54"
"s_10";7;"55-64"
"s_10";8;"65-74"
"s_10";9;"75 or older"
"s_10";5;"I prefer not to answer"
"s_11";1;"Living alone"
"s_11";2;"Living with partner/spouse (no children)"
"s_11";3;"Living with family (including children)"
"s_11";4;"Shared housing (roommates/flatmates)"
"s_11";5;"Student housing"
"s_11";6;"Other"
"s_11";7;"I prefer not to answer"
"s_12";1;"Not at all concerned"
"s_12";2;"Slightly concerned"
"s_12";3;"Somewhat concerned"
"s_12";4;"Moderately concerned"
"s_12";5;"Extremely concerned"
"s_12";6;"I prefer not to answer"
"s_13";1;"Yes"
"s_13";2;"No, but I am considering it"
"s_13";5;"No, and I do not plan to get one"
"s_13";3;"No"
"s_13";4;"I prefer not to answer"
"s_14";1;"Not at all familiar"
"s_14";2;"Slightly familiar"
"s_14";3;"Somewhat familiar"
"s_14";6;"Moderately familiar"
"s_14";7;"Extremely familiar"
"s_14";5;"I prefer not to answer"
"s_2";1;"Strongly disagree"
"s_2";2;"Disagree"
"s_2";3;"Slightly disagree"
"s_2";4;"Neutral"
"s_2";5;"Slightly agree"
"s_2";6;"Agree"
"s_2";7;"Strongly agree"
"s_3";1;"Strongly disagree"
"s_3";2;"Disagree"
"s_3";3;"Slightly disagree"
"s_3";4;"Neutral"
"s_3";5;"Slightly agree"
"s_3";6;"Agree"
"s_3";7;"Strongly agree"
"s_4";1;"Strongly disagree"
"s_4";2;"Disagree"
"s_4";3;"Slightly disagree"
"s_4";4;"Neutral"
"s_4";5;"Slightly agree"
"s_4";6;"Agree"
"s_4";7;"Strongly agree"
"s_5";1;"Strongly disagree"
"s_5";2;"Disagree"
"s_5";3;"Slightly disagree"
"s_5";4;"Neutral"
"s_5";5;"Slightly agree"
"s_5";6;"Agree"
"s_5";7;"Strongly agree"
"s_6";1;"Strongly disagree"
"s_6";2;"Disagree"
"s_6";3;"Slightly disagree"
"s_6";4;"Neutral"
"s_6";5;"Slightly agree"
"s_6";6;"Agree"
"s_6";7;"Strongly agree"
"s_7";1;"Strongly disagree"
"s_7";2;"Disagree"
"s_7";3;"Slightly disagree"
"s_7";4;"Neutral"
"s_7";5;"Slightly agree"
"s_7";6;"Agree"
"s_7";7;"Strongly agree"
"s_8";1;"Strongly disagree"
"s_8";2;"Disagree"
"s_8";3;"Slightly disagree"
"s_8";4;"Neutral"
"s_8";5;"Slightly agree"
"s_8";6;"Agree"
"s_8";7;"Strongly agree"
"s_9";1;"Strongly disagree"
"s_9";2;"Disagree"
"s_9";3;"Slightly disagree"
"s_9";4;"Neutral"
"s_9";5;"Slightly agree"
"s_9";6;"Agree"
"s_9";7;"Strongly agree"
"s_17";1;"Not at all confident"
"s_17";2;"Slightly confident"
"s_17";3;"Somewhat confident"
"s_17";4;"Moderately confident"
"s_17";5;"Extremely confident"
